1,0,0900,0855,-5.00
2,1,1735,1651,-44.00
3,0,1230,1226,-4.00
4,1,2050,2033,-17.00
9,0,0700,0649,-11.00
10,1,0559,0544,-15.00
12,1,1950,1935,-15.00
15,0,0800,0755,-5.00
16,1,2115,2149,34.00
19,0,1100,1055,-5.00
20,1,2325,2331,6.00
21,0,1845,1851,6.00
22,1,2335,2329,-6.00
24,1,1600,1546,-14.00
30,1,0750,0725,-25.00
32,1,2240,2239,-1.00
117,0,1445,1438,-7.00
118,1,1525,1436,-49.00
120,1,1815,1834,19.00
133,0,1630,1628,-2.00
44,1,1605,1535,-30.00
45,0,1729,1727,-2.00
64,1,1445,1448,3.00
65,0,1615,1625,10.00
66,1,1456,1449,-7.00
67,0,1605,1629,24.00
164,1,1730,2044,194.00
84,1,1055,1039,-16.00
84,0,0730,0734,4.00
85,0,1530,1524,-6.00
94,1,1615,1551,-24.00
95,0,1720,1749,29.00
190,0,0800,0801,1.00
193,1,1600,1601,1.00
193,0,1255,1306,11.00
198,1,1605,1544,-21.00
199,0,1710,1714,4.00
149,1,2305,2250,-15.00
312,1,2255,2251,-4.00
172,1,1845,1805,-40.00
177,0,1800,1754,-6.00
179,0,1030,1024,-6.00
180,1,0100,0038,-22.00
181,0,1730,1724,-6.00
185,0,2045,2040,-5.00
290,1,1435,,
291,0,1700,,
293,0,1945,1948,3.00
1029,1,1915,1931,16.00
1029,0,1545,1548,3.00
235,0,1835,1908,33.00
236,1,1530,1511,-19.00
255,0,1000,0959,-1.00
256,1,2155,2147,-8.00
1096,1,1915,1941,26.00
1096,0,1545,1624,39.00
1101,0,0652,0649,-3.00
1016,0,1155,1150,-5.00
1016,1,1825,1834,9.00
1260,1,0953,0946,-7.00
1275,0,0800,0755,-5.00
1275,1,1725,1712,-13.00
1406,1,2356,0003,7.00
1480,1,2055,2107,12.00
1085,0,0830,0841,11.00
1165,1,0730,0717,-13.00
1580,1,1259,1315,16.00
1508,1,1602,1541,-21.00
1510,1,1809,1759,-10.00
1640,1,1505,1438,-27.00
1646,0,1055,1059,4.00
2283,0,1730,1725,-5.00
2285,0,1459,1454,-5.00
2285,1,2130,2137,7.00
2292,1,2158,2248,50.00
2299,0,0545,0640,55.00
2371,0,0900,0902,2.00
2351,0,1700,1657,-3.00
2314,0,2020,2029,9.00
1,0,0950,1013,23.00
2,1,1100,1140,40.00
3,0,0714,0711,-3.00
4,1,1610,1601,-9.00
14,1,0532,0507,-25.00
15,0,0659,0659,0.00
16,1,1517,1508,-9.00
23,0,0630,0627,-3.00
123,0,0815,0810,-5.00
124,1,1631,1612,-19.00
130,1,0841,0839,-2.00
135,0,1922,1946,24.00
136,1,0626,0646,20.00
153,0,2000,2016,16.00
154,1,0834,0843,9.00
353,0,0600,0554,-6.00
354,1,1211,1204,-7.00
53,0,1205,1219,14.00
54,1,1831,1848,17.00
65,0,2000,2004,4.00
66,1,0546,0633,47.00
71,0,1839,1921,42.00
72,1,0500,0604,64.00
76,1,1324,1322,-2.00
83,0,1529,1536,7.00
84,1,2112,2136,24.00
89,0,1647,1729,42.00
90,1,0500,0537,37.00
97,0,2030,2039,9.00
98,1,0529,0516,-13.00
104,1,2133,2238,65.00
105,0,1930,1925,-5.00
108,0,2245,2245,0.00
115,1,0718,0705,-13.00
116,0,0952,0945,-7.00
117,1,1322,1314,-8.00
118,0,1359,1357,-2.00
286,0,1429,1427,-2.00
301,0,1429,1428,-1.00
302,1,2229,2336,67.00
304,1,0450,0501,11.00
315,1,1250,1242,-8.00
316,0,1206,1219,13.00
317,1,2153,2153,0.00
318,0,0645,0638,-7.00
323,0,1120,1141,21.00
24,1,1424,1413,-11.00
26,1,1857,1906,9.00
33,1,1700,1642,-18.00
34,0,1329,1323,-6.00
207,1,1402,1351,-11.00
208,0,1059,1056,-3.00
213,0,1359,1357,-2.00
218,1,1230,1214,-16.00
219,0,0802,0800,-2.00
223,0,0940,0944,4.00
224,1,1918,1917,-1.00
225,0,1930,1930,0.00
226,1,0831,0826,-5.00
229,0,0914,0921,7.00
230,1,1547,1603,16.00
233,1,0733,0717,-16.00
234,0,2245,2237,-8.00
263,0,1735,1735,0.00
264,1,0544,0557,13.00
281,0,0829,0822,-7.00
282,1,1637,1618,-19.00
283,0,1557,1553,-4.00
285,1,1242,1228,-14.00
424,1,2220,2239,19.00
425,0,2145,2145,0.00
426,1,2100,2124,24.00
358,1,0552,0535,-17.00
